***** Results of Analysis *****

Variables	VarBounds_0	VarBounds_1	VarBoundFraction
e0e1_greek_theta_i1_j1_tr16	solved 	solved 	solved
e0e1_greek_theta_i1_j1_tr17	solved 	solved 	solved
e0e1_greek_theta_i1_j1_tr18	solved 	solved 	solved
e0e1_greek_theta_i1_j1_tr19	solved 	solved 	solved
e0e1_greek_theta_i1_j1_tr20	solved 	solved 	solved
e0e1_greek_theta_i1_j2_tr1	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr2	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr3	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr4	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr5	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr6	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr7	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr8	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr9	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr10	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr11	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr12	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr13	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr14	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr15	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr16	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr17	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr18	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr19	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i1_j2_tr20	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr1	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr2	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr3	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr4	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr5	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr6	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr7	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr8	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr9	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr10	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr11	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr12	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr13	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr14	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr15	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr16	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr17	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr18	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr19	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j1_tr20	0.916666666667 	0.916666666667 	1.83333333333
e0e1_greek_theta_i2_j2_tr1	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr2	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr3	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr4	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr5	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr6	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr7	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr8	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr9	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr10	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr11	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr12	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr13	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr14	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr15	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr16	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr17	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr18	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr19	solved 	solved 	solved
e0e1_greek_theta_i2_j2_tr20	solved 	solved 	solved
e0e1_A	7.40148683083e-17 	7.40148683083e-17 	1.48029736617e-16
e0e1_F_BLn	1.0 	1.0 	2.0
e0_F_LReboilerinn	0.5 	0.5 	1.0
e0_F_DLRefluxn	1.0 	1.0 	2.0
e0e1_F_Ln_tr1	1.0 	1.0 	2.0
e0e1_F_Ln_tr2	1.0 	1.0 	2.0
e0e1_F_Ln_tr3	1.0 	1.0 	2.0
e0e1_F_Ln_tr4	1.0 	1.0 	2.0
e0e1_F_Ln_tr5	1.0 	1.0 	2.0
e0e1_F_Ln_tr6	1.0 	1.0 	2.0
e0e1_F_Ln_tr7	1.0 	1.0 	2.0
e0e1_F_Ln_tr8	1.0 	1.0 	2.0
e0e1_F_Ln_tr9	1.0 	1.0 	2.0
e0e1_F_Ln_tr10	1.0 	1.0 	2.0
e0e1_F_Ln_tr11	1.0 	1.0 	2.0
e0e1_F_Ln_tr12	1.0 	1.0 	2.0
e0e1_F_Ln_tr13	1.0 	1.0 	2.0
e0e1_F_Ln_tr14	1.0 	1.0 	2.0
e0e1_F_Ln_tr15	1.0 	1.0 	2.0
e0e1_F_Ln_tr16	1.0 	1.0 	2.0
e0e1_F_Ln_tr17	1.0 	1.0 	2.0
e0e1_F_Ln_tr18	1.0 	1.0 	2.0
e0e1_F_Ln_tr19	1.0 	1.0 	2.0
e0e1_F_Ln_tr20	1.0 	1.0 	2.0
e0e1_F_Ln_tr21	1.0 	1.0 	2.0
e0_F_DVn	1.0 	1.0 	2.0
e0e1_F_Vn_tr2	1.0 	1.0 	2.0
e0e1_F_Vn_tr3	1.0 	1.0 	2.0
e0e1_F_Vn_tr4	1.0 	1.0 	2.0
e0e1_F_Vn_tr5	1.0 	1.0 	2.0
e0e1_F_Vn_tr6	1.0 	1.0 	2.0
e0e1_F_Vn_tr7	1.0 	1.0 	2.0
e0e1_F_Vn_tr8	1.0 	1.0 	2.0
e0e1_F_Vn_tr9	1.0 	1.0 	2.0
e0e1_F_Vn_tr10	1.0 	1.0 	2.0
e0e1_F_Vn_tr11	1.0 	1.0 	2.0
e0e1_F_Vn_tr12	1.0 	1.0 	2.0
e0e1_F_Vn_tr13	1.0 	1.0 	2.0
e0e1_F_Vn_tr14	1.0 	1.0 	2.0
e0e1_F_Vn_tr15	1.0 	1.0 	2.0
e0e1_F_Vn_tr16	1.0 	1.0 	2.0
e0e1_F_Vn_tr17	1.0 	1.0 	2.0
e0e1_F_Vn_tr18	1.0 	1.0 	2.0
e0e1_F_Vn_tr19	1.0 	1.0 	2.0
e0e1_F_Vn_tr20	1.0 	1.0 	2.0
e0_F_ReboilerVn	1.0 	1.0 	2.0
e0e1_K_tr1_i1	1.0 	1.0 	2.0
e0e1_K_tr2_i1	1.0 	1.0 	2.0
e0e1_K_tr3_i1	1.0 	1.0 	2.0
e0e1_K_tr4_i1	1.0 	1.0 	2.0
e0e1_K_tr5_i1	1.0 	1.0 	2.0
e0e1_K_tr6_i1	1.0 	1.0 	2.0
e0e1_K_tr7_i1	1.0 	1.0 	2.0
e0e1_K_tr8_i1	1.0 	1.0 	2.0
e0e1_K_tr9_i1	1.0 	1.0 	2.0
e0e1_K_tr10_i1	1.0 	1.0 	2.0
e0e1_K_tr11_i1	1.0 	1.0 	2.0
e0e1_K_tr12_i1	1.0 	1.0 	2.0
e0e1_K_tr13_i1	1.0 	1.0 	2.0
e0e1_K_tr14_i1	1.0 	1.0 	2.0
e0e1_K_tr15_i1	1.0 	1.0 	2.0
e0e1_K_tr16_i1	1.0 	1.0 	2.0
e0e1_K_tr17_i1	1.0 	1.0 	2.0
e0e1_K_tr18_i1	1.0 	1.0 	2.0
e0e1_K_tr19_i1	1.0 	1.0 	2.0
e0e1_K_tr20_i1	1.0 	1.0 	2.0
e0e1_K_tr1_i2	1.0 	1.0 	2.0
